period,state,handgun,long_gun,multiple,year,month
2017-09,Alabama,6307,6952,634,2017,9
2017-09,Alaska,2552,3223,320,2017,9
2017-09,Arizona,12169,8741,1262,2017,9
2017-09,Arkansas,4782,6669,732,2017,9
2017-09,California,40882,27039,0,2017,9
2017-09,Colorado,17326,14793,2124,2017,9
2017-09,Connecticut,5317,2192,0,2017,9
2017-09,Delaware,1555,1692,136,2017,9
2017-09,Florida,43119,19744,3442,2017,9
2017-09,Georgia,12026,8780,988,2017,9
2017-09,Hawaii,0,0,0,2017,9
2017-09,Idaho,3364,5765,410,2017,9
2017-09,Illinois,20119,11221,1628,2017,9
2017-09,Indiana,17702,12465,1194,2017,9
2017-09,Iowa,166,2904,2,2017,9
2017-09,Kansas,4970,5528,594,2017,9
2017-09,Kentucky,8923,8297,1086,2017,9
2017-09,Louisiana,11545,12730,1552,2017,9
2017-09,Maine,3329,4642,372,2017,9
2017-09,Maryland,3728,5387,68,2017,9
2017-09,Massachusetts,5224,3089,316,2017,9
2017-09,Michigan,9519,11744,326,2017,9
2017-09,Minnesota,5348,13945,546,2017,9
2017-09,Mississippi,6886,6639,810,2017,9
2017-09,Missouri,18692,15835,1982,2017,9
2017-09,Montana,2634,5366,432,2017,9
2017-09,Nebraska,121,2188,8,2017,9
2017-09,Nevada,4391,2760,474,2017,9
2017-09,New Hampshire,4851,3573,6,2017,9
2017-09,New Jersey,4384,3344,0,2017,9
2017-09,New Mexico,5840,4959,568,2017,9
2017-09,New York,9231,17834,370,2017,9
2017-09,North Carolina,1358,12474,466,2017,9
2017-09,North Dakota,1495,3211,164,2017,9
2017-09,Ohio,23194,16498,2052,2017,9
2017-09,Oklahoma,9756,9922,1614,2017,9
2017-09,Oregon,12713,12950,14,2017,9
2017-09,Pennsylvania,43808,14544,0,2017,9
2017-09,Rhode Island,998,681,326,2017,9
2017-09,South Carolina,8331,6641,590,2017,9
2017-09,South Dakota,2222,4570,282,2017,9
2017-09,Tennessee,21141,15121,0,2017,9
2017-09,Texas,43031,43358,4946,2017,9
2017-09,Utah,3124,4356,0,2017,9
2017-09,Vermont,1404,1750,160,2017,9
2017-09,Virginia,21644,16582,0,2017,9
2017-09,Washington,14621,12703,1174,2017,9
2017-09,West Virginia,5724,6777,774,2017,9
2017-09,Wisconsin,12010,14446,86,2017,9
2017-09,Wyoming,1471,2216,194,2017,9
2017-08,Alabama,6918,6650,622,2017,8
2017-08,Alaska,2922,3407,368,2017,8
2017-08,Arizona,11950,8455,1254,2017,8
2017-08,Arkansas,5310,5827,646,2017,8
2017-08,California,45221,28842,0,2017,8
2017-08,Colorado,18271,14218,2070,2017,8
2017-08,Connecticut,5818,2187,0,2017,8
2017-08,Delaware,1728,1484,116,2017,8
2017-08,Florida,51350,23889,4096,2017,8
2017-08,Georgia,12891,8577,1050,2017,8
2017-08,Hawaii,0,0,0,2017,8
2017-08,Idaho,3538,4363,410,2017,8
2017-08,Illinois,21788,12466,1558,2017,8
2017-08,Indiana,18998,13028,1396,2017,8
2017-08,Iowa,147,2202,6,2017,8
2017-08,Kansas,5506,5217,660,2017,8
2017-08,Kentucky,8843,7211,918,2017,8
2017-08,Louisiana,11136,9667,1262,2017,8
2017-08,Maine,3321,3262,326,2017,8
2017-08,Maryland,4023,5288,54,2017,8
2017-08,Massachusetts,5184,2758,342,2017,8
2017-08,Michigan,10834,10958,498,2017,8
2017-08,Minnesota,5991,12423,630,2017,8
2017-08,Mississippi,9965,8512,1130,2017,8
2017-08,Missouri,19106,15310,2054,2017,8
2017-08,Montana,2857,4437,442,2017,8
2017-08,Nebraska,120,1834,14,2017,8
2017-08,Nevada,4457,2476,482,2017,8
2017-08,New Hampshire,4580,3174,6,2017,8
2017-08,New Jersey,4662,3342,0,2017,8
2017-08,New Mexico,5500,4107,662,2017,8
2017-08,New York,10075,14563,316,2017,8
2017-08,North Carolina,1313,13144,392,2017,8
2017-08,North Dakota,1650,2824,130,2017,8
2017-08,Ohio,23575,15892,2068,2017,8
2017-08,Oklahoma,10705,9876,1896,2017,8
2017-08,Oregon,12958,9877,6,2017,8
2017-08,Pennsylvania,44691,14487,0,2017,8
2017-08,Rhode Island,971,656,308,2017,8
2017-08,South Carolina,9095,7063,722,2017,8
2017-08,South Dakota,2290,3556,222,2017,8
2017-08,Tennessee,21962,15624,0,2017,8
2017-08,Texas,41005,38372,4948,2017,8
2017-08,Utah,3069,3469,0,2017,8
2017-08,Vermont,1355,1379,178,2017,8
2017-08,Virginia,22877,16419,0,2017,8
2017-08,Washington,15167,10754,1246,2017,8
2017-08,West Virginia,5441,5116,682,2017,8
2017-08,Wisconsin,14024,15749,84,2017,8
2017-08,Wyoming,1552,1938,172,2017,8
2017-07,Alabama,6651,5269,516,2017,7
2017-07,Alaska,3202,2704,360,2017,7
2017-07,Arizona,11213,6999,1088,2017,7
2017-07,Arkansas,4777,4184,508,2017,7
2017-07,California,40730,23893,0,2017,7
2017-07,Colorado,17669,12172,2040,2017,7
2017-07,Connecticut,5995,1948,0,2017,7
2017-07,Delaware,1559,1100,120,2017,7
2017-07,Florida,52173,20835,3688,2017,7
2017-07,Georgia,11754,6783,800,2017,7
2017-07,Hawaii,0,0,0,2017,7
2017-07,Idaho,3176,3604,298,2017,7
2017-07,Illinois,20259,10884,1530,2017,7
2017-07,Indiana,16924,10994,1168,2017,7
2017-07,Iowa,103,1814,8,2017,7
2017-07,Kansas,5100,4305,556,2017,7
2017-07,Kentucky,7960,5630,838,2017,7
2017-07,Louisiana,10362,6591,1150,2017,7
2017-07,Maine,2965,2485,244,2017,7
2017-07,Maryland,4081,4314,36,2017,7
2017-07,Massachusetts,4437,2365,236,2017,7
2017-07,Michigan,10236,8456,416,2017,7
2017-07,Minnesota,5699,8507,490,2017,7
2017-07,Mississippi,6557,4378,640,2017,7
2017-07,Missouri,17766,12208,1714,2017,7
2017-07,Montana,2538,3485,312,2017,7
2017-07,Nebraska,107,1324,0,2017,7
2017-07,Nevada,4012,2158,446,2017,7
2017-07,New Hampshire,4651,2670,8,2017,7
2017-07,New Jersey,4786,2771,0,2017,7
2017-07,New Mexico,5317,3579,456,2017,7
2017-07,New York,10133,12431,340,2017,7
2017-07,North Carolina,1165,10248,360,2017,7
2017-07,North Dakota,1415,2233,124,2017,7
2017-07,Ohio,23089,15544,1918,2017,7
2017-07,Oklahoma,10315,7368,1336,2017,7
2017-07,Oregon,12276,8665,2,2017,7
2017-07,Pennsylvania,41062,12863,0,2017,7
2017-07,Rhode Island,920,652,258,2017,7
