station_id,rented,returned,station_name,difference
58,3904,3973,Market St at 10th St,-69
67,3544,4857,San Francisco Caltrain Station 2  (Townsend St at 4th St),-1313
81,3052,2872,Berry St at 4th St,180
21,2895,3647,Montgomery St BART Station (Market St at 2nd St),-752
3,2760,2997,Powell St BART Station (Market St at 4th St),-237
15,2710,3368,San Francisco Ferry Building (Harry Bridges Plaza),-658
30,2703,2947,San Francisco Caltrain (Townsend St at 4th St),-244
5,2327,2353,Powell St BART Station (Market St at 5th St),-26
22,2293,2034,Howard St at Beale St,259
16,2283,2338,Steuart St at Market St,-55
6,2082,2512,The Embarcadero at Sansome St,-430
239,1796,1814,Bancroft Way at Telegraph Ave,-18
243,1770,1124,Bancroft Way at College Ave,646
50,1765,1741,2nd St at Townsend St,24
66,1753,1700,3rd St at Townsend St,53
17,1746,1699,Embarcadero BART Station (Beale St at Market St),47
27,1719,1812,Beale St at Harrison St,-93
44,1611,1865,Civic Center/UN Plaza BART Station (Market St at McAllister St),-254
90,1573,1540,Townsend St at 7th St,33
93,1552,1626,4th St at Mission Bay Blvd S,-74
23,1458,1447,The Embarcadero at Steuart St,11
19,1376,1422,Post St at Kearny St,-46
245,1375,1380,Downtown Berkeley BART,-5
104,1360,1208,4th St at 16th St,152
61,1314,1284,Howard St at 8th St,30
114,1303,1345,Rhode Island St at 17th St,-42
126,1290,1266,Esprit Park,24
182,1276,1430,19th Street BART Station,-154
350,1203,1331,8th St at Brannan St,-128
256,1203,1012,Hearst Ave at Euclid Ave,191
36,1201,1302,Folsom St at 3rd St,-101
324,1166,1073,Union Square (Powell St at Post St),93
24,1161,1164,Spear St at Folsom St,-3
74,1161,1150,Laguna St at Hayes St,11
60,1155,1044,8th St at Ringold St,111
343,1145,951,Bryant St at 2nd St,194
321,1106,1101,5th St at Folsom,5
43,1086,1017,San Francisco Public Library (Grove St at Hyde St),69
130,1048,985,22nd St Caltrain Station,63
59,1037,948,S Van Ness Ave at Market St,89
80,1034,990,Townsend St at 5th St,44
223,1031,1084,16th St Mission BART Station 2,-53
20,1018,996,Mechanics Monument Plaza (Market St at Bush St),22
89,1013,1141,Division St at Potrero Ave,-128
134,1008,971,Valencia St at 24th St,37
28,992,926,The Embarcadero at Bryant St,66
176,984,1114,MacArthur BART Station,-130
86,979,941,Market St at Dolores St,38
11,962,973,Davis St at Jackson St,-11
109,953,970,17th St at Valencia St,-17
296,950,912,5th St at Virginia St,38
371,942,1007,Lombard St at Columbus Ave,-65
78,933,834,Folsom St at 9th St,99
9,905,802,Broadway at Battery St,103
323,902,886,Broadway at Kearny,16
47,899,887,4th St at Harrison St,12
349,897,887,Howard St at Mary St,10
25,890,803,Howard St at 2nd St,87
64,883,922,5th St at Brannan St,-39
310,880,895,San Fernando St at 4th St,-15
284,877,883,Yerba Buena Center for the Arts (Howard St at 3rd St),-6
77,868,874,11th St at Natoma St,-6
377,868,833,Fell St at Stanyan St,35
92,866,854,Mission Bay Kids Park,12
49,851,841,S Park St at 3rd St,10
160,829,870,West Oakland BART Station,-41
368,828,790,Myrtle St at Polk St,38
88,828,990,11th St at Bryant St,-162
7,827,778,Frank H Ogawa Plaza,49
62,822,833,Victoria Manalo Draves Park,-11
364,813,858,China Basin St at 3rd St,-45
266,809,852,Parker St at Fulton St,-43
112,807,904,Harrison St at 17th St,-97
241,804,836,Ashby BART Station,-32
253,798,474,Haste St at College Ave,324
121,797,823,Mission Playground,-26
14,796,885,Clay St at Battery St,-89
355,795,813,23rd St at Tennessee St,-18
10,793,942,Washington St at Kearny St,-149
70,790,634,Central Ave at Fell St,156
26,782,824,1st St at Folsom St,-42
129,781,804,Harrison St at 20th St,-23
139,772,766,Garfield Square (25th St at Harrison St),6
42,772,752,San Francisco City Hall (Polk St at Grove St),20
363,762,741,Salesforce Transit Center (Natoma St at 2nd St),21
75,760,722,Market St at Franklin St,38
200,748,823,2nd Ave at E 18th St,-75
13,746,764,Commercial St at Montgomery St,-18
370,746,648,Jones St at Post St,98
345,741,758,Hubbell St at 16th St,-17
79,733,715,7th St at Brannan St,18
240,728,620,Haste St at Telegraph Ave,108
133,712,697,Valencia St at 22nd St,15
98,708,692,Valencia St at 16th St,16
116,702,683,Mississippi St at 17th St,19
76,695,653,McCoppin St at Valencia St,42
73,692,626,Pierce St at Haight St,66
196,692,712,Grand Ave at Perkins St,-20
163,685,558,Lake Merritt BART Station,127
100,684,680,Bryant St at 15th St,4
72,679,555,Page St at Scott St,124
41,678,612,Golden Gate Ave at Polk St,66
141,674,634,Valencia St at Cesar Chavez St,40
238,671,765,MLK Jr Way at University Ave,-94
181,669,689,Grand Ave at Webster St,-20
95,666,536,Sanchez St at 15th St,130
369,664,504,Hyde St at Post St,160
127,654,631,Valencia St at 21st St,23
280,651,680,San Fernando St at 7th St,-29
8,649,725,The Embarcadero at Vallejo St,-76
356,647,618,Valencia St at Clinton Park,29
53,647,528,Grove St at Divisadero,119
85,645,507,Church St at Duboce Ave,138
171,644,617,Rockridge BART Station,27
285,643,607,Webster St at O'Farrell St,36
197,638,738,El Embarcadero at Grand Ave,-100
101,630,661,15th St at Potrero Ave,-31
122,629,656,19th St at Mission St,-27
71,624,375,Broderick St at Oak St,249
246,621,633,Berkeley Civic Center,-12
123,618,641,Folsom St at 19th St,-23
115,616,645,Jackson Playground,-29
4,610,609,Cyril Magnin St at Ellis St,1
124,600,605,19th St at Florida St,-5
97,578,489,14th St at Mission St,89
125,572,566,20th St at Bryant St,6
102,570,602,Irwin St at 8th St,-32
120,569,557,Mission Dolores Park,12
247,569,651,Fulton St at Bancroft Way,-82
195,559,560,Bay Pl at Vernon St,-1
119,553,481,18th St at Noe St,72
52,546,367,McAllister St at Baker St,179
258,526,597,University Ave at Oxford St,-71
144,516,504,Precita Park,12
267,513,462,Derby St at College Ave,51
336,512,426,Potrero Ave and Mariposa St,86
108,512,526,16th St Mission BART,-14
183,507,519,Telegraph Ave at 19th St,-12
55,504,404,Webster St at Grove St,100
96,489,469,Dolores St at 15th St,20
269,487,493,Telegraph Ave at Carleton St,-6
31,476,477,Raymond Kimbell Playground,-1
248,469,502,Telegraph Ave at Ashby Ave,-33
386,464,484,24th St at Bartlett St,-20
56,460,364,Koshland Park,96
244,459,472,Shattuck Ave at Hearst Ave,-13
249,455,431,Russell St at College Ave,24
110,454,490,17th & Folsom Street Park (17th St at Folsom St),-36
105,453,404,16th St at Prosper St,49
91,450,409,Berry St at King St,41
252,439,523,Channing Way at Shattuck Ave,-84
84,439,256,Duboce Park,183
145,435,407,29th St at Church St,28
132,435,309,24th St at Chattanooga St,126
305,434,408,Ryland Park,26
107,428,347,17th St at Dolores St,81
147,428,395,29th St at Tiffany Ave,33
99,425,434,Folsom St at 15th St,-9
254,422,407,Vine St at Shattuck Ave,15
